Provinsi,Tahun,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
ACEH,2018,329515.78,56.49,1861567.1
SUMATERA UTARA,2018,408176.45,51.65,2108284.72
SUMATERA BARAT,2018,313050.82,47.37,1483076.48
RIAU,2018,71448.08,37.28,266375.53
JAMBI,2018,86202.68,44.44,383045.74
SUMATERA SELATAN,2018,581574.61,51.48,2994191.84
BENGKULU,2018,65891.16,43.83,288810.52
LAMPUNG,2018,511940.93,48.61,2488641.91
KEP. BANGKA BELITUNG,2018,17233.59,26.53,45724.69
KEP. RIAU,2018,375.87,29.19,1097
DKI JAKARTA,2018,673.37,72.76,4899.14
JAWA BARAT,2018,1707253.81,56.51,9647358.75
JAWA TENGAH,2018,1821983.17,57.63,10499588.23
DI YOGYAKARTA,2018,93956.45,54.81,514935.49
JAWA TIMUR,2018,1751191.67,58.26,10203213.17
BANTEN,2018,344836.06,48.94,1687783.3
BALI,2018,110978.37,60.11,667069.06
NUSA TENGGARA BARAT,2018,289242.59,50.49,1460338.81
NUSA TENGGARA TIMUR,2018,218232.91,41.24,899935.88
KALIMANTAN BARAT,2018,286476.03,27.92,799715.21
KALIMANTAN TENGAH,2018,147571.69,34.88,514769.05
KALIMANTAN SELATAN,2018,323091.21,41.09,1327492.41
KALIMANTAN TIMUR,2018,64961.16,40.45,262773.88
KALIMANTAN UTARA,2018,13707,32.88,45063.53
SULAWESI UTARA,2018,70352.62,46.47,326929.74
SULAWESI TENGAH,2018,201279.24,46.05,926978.66
SULAWESI SELATAN,2018,1185484.1,50.21,5952616.45
SULAWESI TENGGARA,2018,136673.75,39.43,538876.14
GORONTALO,2018,56631.64,47.6,269540.4
SULAWESI BARAT,2018,65303.78,48.46,316478.37
MALUKU,2018,29052.14,40.01,116228.86
MALUKU UTARA,2018,13412.75,36.57,49047.11
PAPUA BARAT,2018,7767.01,32.15,24967.13
PAPUA,2018,52411.95,42.57,223119.42
INDONESIA,2018,11377934.44,52.03,59200533.72
ACEH,2019,310012.46,55.3,1714437.6
SUMATERA UTARA,2019,413141.24,50.32,2078901.59
SUMATERA BARAT,2019,311671.23,47.58,1482996.01
RIAU,2019,63142.04,36.56,230873.97
JAMBI,2019,69536.06,44.57,309932.68
SUMATERA SELATAN,2019,539316.52,48.27,2603396.24
BENGKULU,2019,64406.86,46.03,296472.07
LAMPUNG,2019,464103.42,46.63,2164089.33
KEP. BANGKA BELITUNG,2019,17087.81,28.56,48805.68
KEP. RIAU,2019,356.27,32.3,1150.8
DKI JAKARTA,2019,622.59,53.96,3359.31
JAWA BARAT,2019,1578835.7,57.54,9084957.22
JAWA TENGAH,2019,1678479.21,57.53,9655653.98
DI YOGYAKARTA,2019,111477.36,47.86,533477.4
JAWA TIMUR,2019,1702426.36,56.28,9580933.88
BANTEN,2019,303731.8,48.41,1470503.35
BALI,2019,95319.34,60.78,579320.53
NUSA TENGGARA BARAT,2019,281666.04,49.78,1402182.39
NUSA TENGGARA TIMUR,2019,198867.41,40.82,811724.18
KALIMANTAN BARAT,2019,290048.44,29.23,847875.13
KALIMANTAN TENGAH,2019,146144.51,30.35,443561.33
KALIMANTAN SELATAN,2019,356245.95,37.69,1342861.82
KALIMANTAN TIMUR,2019,69707.75,36.41,253818.37
KALIMANTAN UTARA,2019,10294.7,32.4,33357.19
SULAWESI UTARA,2019,62020.39,44.79,277776.31
SULAWESI TENGAH,2019,186100.44,45.4,844904.3
SULAWESI SELATAN,2019,1010188.75,50.03,5054166.96
SULAWESI TENGGARA,2019,132343.86,39.27,519706.93
GORONTALO,2019,49009.95,47.18,231211.11
SULAWESI BARAT,2019,62581.47,47.96,300142.22
MALUKU,2019,25976.85,37.82,98254.75
MALUKU UTARA,2019,11700.5,32.43,37945.64
PAPUA BARAT,2019,7192.15,41.63,29943.56
PAPUA,2019,54131.72,43.48,235339.51
INDONESIA,2019,10677887.15,51.14,54604033.34
ACEH,2020,317869.41,55.28,1757313.07
SUMATERA UTARA,2020,388591.22,52.51,2040500.19
SUMATERA BARAT,2020,295664.47,46.92,1387269.29
RIAU,2020,64733.13,37.64,243685.04
JAMBI,2020,84772.93,45.58,386413.49
SUMATERA SELATAN,2020,551320.76,49.75,2743059.68
BENGKULU,2020,64137.28,45.66,292834.04
LAMPUNG,2020,545149.05,48.62,2650289.64
KEP. BANGKA BELITUNG,2020,17840.55,32.13,57324.32
KEP. RIAU,2020,298.52,28.56,852.54
DKI JAKARTA,2020,914.51,49.69,4543.93
JAWA BARAT,2020,1586888.63,56.82,9016772.58
JAWA TENGAH,2020,1666931.49,56.93,9489164.62
DI YOGYAKARTA,2020,110548.12,47.35,523395.95
JAWA TIMUR,2020,1754380.3,56.68,9944538.26
BANTEN,2020,325333.24,50.88,1655170.09
BALI,2020,90980.69,58.49,532168.45
NUSA TENGGARA BARAT,2020,273460.82,48.17,1317189.81
NUSA TENGGARA TIMUR,2020,181690.63,39.9,725024.3
KALIMANTAN BARAT,2020,256575.43,30.33,778170.36
KALIMANTAN TENGAH,2020,143275.05,31.96,457952
KALIMANTAN SELATAN,2020,289836.35,39.69,1150306.66
KALIMANTAN TIMUR,2020,73568.44,35.67,262434.52
KALIMANTAN UTARA,2020,9883.05,33.97,33574.28
SULAWESI UTARA,2020,61827.86,40.25,248879.48
SULAWESI TENGAH,2020,178066.94,44.49,792248.84
SULAWESI SELATAN,2020,976258.14,48.23,4708464.97
SULAWESI TENGGARA,2020,133697.15,39.85,532773.49
GORONTALO,2020,48686.34,46.75,227627.2
SULAWESI BARAT,2020,64826.18,53.23,345050.37
MALUKU,2020,28668.22,38.53,110447.3
MALUKU UTARA,2020,10301.91,42.11,43382.85
PAPUA BARAT,2020,7570.63,32.2,24378.33
PAPUA,2020,52727.52,31.48,166002.3
INDONESIA,2020,10657274.96,51.28,54649202.24
ACEH,2021,297058.38,55.03,1634639.6
SUMATERA UTARA,2021,385405,52,2004142.51
SUMATERA BARAT,2021,272391.95,48.36,1317209.38
RIAU,2021,53062.35,40.98,217458.87
